district_name,district_id,pm2_5,pm10,no2,o3
Aberdeen City,S12000033,6.5,12.4,32.8,48.0
Aberdeenshire,S12000034,6.2,11.6,26.0,49.8
Adur,E07000223,10.5,17.5,27.8,50.4
Allerdale,E07000026,9.1,15.0,19.5,55.5
Amber Valley,E07000032,10.4,16.3,30.2,41.2
Angus,S12000041,6.7,11.4,19.9,50.8
Antrim and Newtownabbey,N09000001,8.8,16.4,27.4,45.7
Ards and North Down,N09000011,8.9,16.5,30.6,45.1
Argyll and Bute,S12000035,6.6,11.4,27.1,47.4
"Armagh City, Banbridge and Craigavon",N09000002,8.1,16.7,23.8,47.3
Arun,E07000224,10.7,17.4,28.7,49.7
Ashfield,E07000170,10.4,16.3,28.1,42.4
Ashford,E07000105,11.4,16.4,13.3,53.1
Aylesbury Vale,E07000004,10.7,15.2,35.1,50.2
Babergh,E07000200,11.1,14.9,15.4,53.3
Barking and Dagenham,E09000002,10.7,18.2,27.9,41.9
Barnet,E09000003,12.8,19.8,32.8,32.7
Barnsley,E08000016,10.4,15.9,16.9,43.8
Barrow-in-Furness,E07000027,9.0,13.6,18.6,52.2
Basildon,E07000066,11.3,16.4,22.0,45.5
Basingstoke and Deane,E07000084,9.0,14.7,22.5,45.8
Bassetlaw,E07000171,10.2,16.2,25.9,42.4
Bath and North East Somerset,E06000022,10.4,16.6,44.6,48.1
Bedford,E06000055,11.3,17.7,28.8,52.6
Belfast,N09000003,9.5,17.1,38.9,43.0
Bexley,E09000004,11.0,17.9,23.7,37.7
Birmingham,E08000025,10.4,15.8,27.3,41.8
Blaby,E07000129,10.7,19.6,23.0,46.6
Blackburn with Darwen,E06000008,9.9,14.0,23.5,45.7
Blackpool,E06000009,8.1,14.9,13.5,55.2
Blaenau Gwent,W06000019,10.1,16.8,38.0,50.3
Bolsover,E07000033,9.9,15.5,21.8,42.2
Bolton,E08000001,10.1,15.1,22.3,43.3
Boston,E07000136,10.9,19.1,20.5,47.3
"Bournemouth, Christchurch and Poole",E06000058,11.8,15.9,14.9,53.5
Bracknell Forest,E06000036,9.4,14.1,28.9,41.6
Bradford,E08000032,10.6,16.2,42.9,39.9
Braintree,E07000067,11.3,15.9,19.9,50.6
Breckland,E07000143,11.1,15.1,15.0,52.9
Brent,E09000005,11.4,21.5,45.7,31.2
Brentwood,E07000068,11.0,16.7,23.3,42.7
Bridgend,W06000013,10.7,20.6,31.5,50.1
Brighton and Hove,E06000043,9.7,17.4,15.9,49.0
"Bristol, City of",E06000023,10.8,16.8,29.9,44.9
Broadland,E07000144,10.9,15.1,12.3,51.9
Bromley,E09000006,10.5,19.0,27.2,36.1
Bromsgrove,E07000234,10.3,15.9,27.7,44.6
Broxbourne,E07000095,12.9,19.8,31.9,32.8
Broxtowe,E07000172,10.8,17.8,31.1,40.4
Burnley,E07000117,9.8,15.1,30.3,42.8
Bury,E08000002,10.2,16.1,27.1,42.3
Caerphilly,W06000018,10.0,16.8,66.0,49.5
Calderdale,E08000033,10.5,16.0,33.7,39.7
Cambridge,E07000008,12.2,18.3,29.4,49.8
Camden,E09000007,11.9,19.0,46.1,31.9
Cannock Chase,E07000192,10.2,17.1,22.7,46.1
Canterbury,E07000106,11.3,16.0,12.7,50.8
Cardiff,W06000015,9.9,17.8,24.2,44.9
Carlisle,E07000028,9.5,16.2,24.0,51.6
Carmarthenshire,W06000010,10.3,18.6,16.8,58.0
Castle Point,E07000069,11.3,15.4,20.7,46.9
Causeway Coast and Glens,N09000004,8.3,15.3,20.9,48.4
Central Bedfordshire,E06000056,11.5,17.9,30.1,43.2
Ceredigion,W06000008,9.8,18.1,13.4,60.0
Charnwood,E07000130,10.9,20.0,26.2,47.2
Chelmsford,E07000070,11.3,16.0,21.4,46.1
Cheltenham,E07000078,9.8,15.7,9.8,51.9
Cherwell,E07000177,9.7,14.0,20.2,51.5
Cheshire East,E06000049,9.9,16.5,16.7,41.7
Cheshire West and Chester,E06000050,8.8,13.5,27.1,47.9
Chesterfield,E07000034,9.3,14.6,16.3,47.4
Chichester,E07000225,11.1,17.5,26.8,45.2
Chiltern,E07000005,10.5,18.2,35.0,40.5
Chorley,E07000118,9.9,14.1,21.6,45.7
City of Edinburgh,S12000036,6.3,10.4,28.5,47.5
Clackmannanshire,S12000005,7.0,11.0,23.0,48.8
Colchester,E07000071,11.3,15.7,16.6,49.2
Conwy,W06000003,8.1,12.2,19.7,48.1
Copeland,E07000029,9.0,14.5,19.6,52.5
Corby,E07000150,10.8,19.5,16.8,50.4
Cornwall and Isles of Scilly,E06000052,8.7,16.2,17.2,50.8
Cotswold,E07000079,9.4,14.3,16.2,50.5
County Durham,E06000047,8.5,12.4,22.0,47.2
Coventry,E08000026,10.3,17.6,24.1,45.4
