district_name,district_id,asthma,copd,dementia,diabetes,hypertension,obesity,stroke,smoking,hiv
Aberdeen City,S12000033,5.917,1.494,0.732,3.090,12.627,9.052,1.768,16.722,0.112
Aberdeenshire,S12000034,6.039,1.472,0.753,3.198,14.020,10.888,1.830,11.478,0.112
Adur,E07000223,7.289,2.306,0.730,8.777,17.149,8.124,3.977,17.688,1.754
Allerdale,E07000026,7.290,2.500,0.763,8.437,16.914,8.849,4.197,13.058,0.483
Amber Valley,E07000032,7.313,2.348,0.634,7.277,15.967,7.118,3.955,15.422,0.571
Angus,S12000041,5.868,2.008,0.973,3.516,15.913,10.614,2.552,15.715,0.112
Antrim and Newtownabbey,N09000001,6.174,1.682,0.665,3.212,13.226,9.362,1.824,17.567,0.059
Ards and North Down,N09000011,6.321,1.449,0.898,3.196,13.721,8.879,1.997,15.243,0.059
Argyll and Bute,S12000035,6.207,2.228,0.914,3.468,16.193,5.821,2.654,15.101,0.112
"Armagh City, Banbridge and Craigavon",N09000002,5.628,1.397,0.614,2.937,12.643,8.955,1.646,20.445,0.059
Arun,E07000224,7.204,2.373,0.869,8.663,18.033,7.162,4.022,12.886,1.289
Ashfield,E07000170,6.998,2.539,0.757,8.463,15.277,9.918,3.948,16.578,0.862
Ashford,E07000105,6.196,1.848,0.505,6.590,14.811,6.900,3.926,21.547,1.410
Aylesbury Vale,E07000004,6.338,1.334,3.916,6.266,14.092,5.757,1.464,9.426,0.690
Babergh,E07000200,7.358,2.067,0.774,7.245,16.949,6.176,4.040,9.333,0.549
Barking and Dagenham,E09000002,4.863,1.448,3.791,8.719,11.255,7.596,3.845,22.431,4.608
Barnet,E09000003,4.451,1.037,4.589,6.622,11.411,4.744,3.740,10.907,2.690
Barnsley,E08000016,6.645,3.237,3.800,7.851,15.362,11.496,4.067,17.407,1.247
Barrow-in-Furness,E07000027,8.012,2.872,0.823,7.689,15.949,8.160,3.993,19.332,0.269
Basildon,E07000066,6.428,2.039,0.525,6.992,14.638,4.949,3.787,15.657,1.508
Basingstoke and Deane,E07000084,6.828,1.478,0.469,6.330,13.528,7.130,3.607,11.855,1.319
Bassetlaw,E07000171,6.448,2.714,0.705,8.218,14.658,7.658,3.733,18.598,0.712
Bath and North East Somerset,E06000022,6.681,1.416,4.043,5.408,12.759,6.984,3.668,11.715,0.676
Bedford,E06000055,6.893,1.510,4.227,7.422,14.063,6.913,3.534,15.269,2.038
Belfast,N09000003,6.080,1.873,0.660,3.170,12.316,8.833,1.816,20.469,0.059
Bexley,E09000004,5.261,1.848,4.201,7.250,13.990,6.339,3.755,12.179,2.362
Birmingham,E08000025,6.392,1.470,3.984,8.984,11.916,6.988,3.949,16.190,2.402
Blaby,E07000129,6.372,1.810,0.609,6.909,15.539,6.484,3.774,11.440,1.135
Blackburn with Darwen,E06000008,7.722,2.169,4.142,8.827,13.838,7.806,3.946,16.198,0.859
Blackpool,E06000009,7.853,3.817,4.494,8.247,17.933,8.456,4.326,21.145,3.906
Blaenau Gwent,W06000019,6.935,2.978,0.532,4.993,17.713,13.223,1.913,21.109,0.490
Bolsover,E07000033,7.022,2.931,0.695,9.653,17.446,7.794,4.136,18.239,0.664
Bolton,E08000001,6.721,2.283,4.273,8.605,13.595,7.510,3.966,15.271,1.349
Boston,E07000136,5.624,2.125,0.643,7.384,15.624,7.486,4.107,22.410,0.794
"Bournemouth, Christchurch and Poole",E06000058,6.831,2.003,4.431,6.429,14.122,6.135,2.154,14.603,2.324
Bracknell Forest,E06000036,6.220,1.244,3.273,6.066,13.215,6.880,3.584,10.939,1.348
Bradford,E08000032,7.154,2.128,4.495,9.104,13.362,8.491,3.953,18.474,1.237
Braintree,E07000067,7.029,1.864,0.599,7.278,14.302,5.948,3.908,16.078,0.757
Breckland,E07000143,7.290,2.206,0.858,7.995,16.877,8.303,4.212,16.118,0.804
Brent,E09000005,4.355,0.807,4.072,8.681,11.401,6.177,3.613,17.131,4.334
Brentwood,E07000068,5.524,1.416,0.647,5.799,14.165,4.197,3.572,6.774,1.067
Bridgend,W06000013,7.579,2.230,0.654,4.443,16.254,9.934,2.380,15.476,0.490
Brighton and Hove,E06000043,5.744,1.498,4.192,4.265,9.611,4.161,3.425,19.308,7.117
"Bristol, City of",E06000023,6.243,1.754,4.428,5.528,10.265,5.571,3.691,16.312,2.228
Broadland,E07000144,7.902,1.675,0.764,7.033,16.280,7.481,4.001,7.356,0.653
Bromley,E09000006,5.378,1.379,4.435,6.035,12.982,5.043,3.522,13.882,2.080
Bromsgrove,E07000234,6.826,1.727,0.642,6.870,15.215,7.505,3.736,8.535,0.529
Broxbourne,E07000095,5.883,1.790,0.383,6.646,13.937,6.817,3.814,18.206,1.182
Broxtowe,E07000172,6.787,2.182,0.862,7.344,15.145,7.469,3.763,13.444,0.602
Burnley,E07000117,7.721,2.951,0.545,8.135,14.698,8.256,3.915,24.842,0.810
Bury,E08000002,6.657,2.163,4.631,7.378,13.767,6.041,3.825,15.979,1.730
Caerphilly,W06000018,6.666,2.178,0.435,4.231,16.568,12.013,1.896,17.557,0.490
Calderdale,E08000033,7.143,2.308,3.493,7.492,13.960,6.099,3.674,15.545,1.052
Cambridge,E07000008,4.692,0.986,0.617,3.432,7.452,3.422,3.453,14.109,1.930
Camden,E09000007,3.980,1.243,4.883,4.111,9.316,3.242,3.387,10.949,6.434
Cannock Chase,E07000192,6.727,2.756,0.518,8.002,16.308,8.611,3.912,12.248,0.723
Canterbury,E07000106,6.103,1.910,0.569,5.998,14.128,5.427,3.614,13.190,0.915
Cardiff,W06000015,6.545,1.332,0.501,3.333,12.243,8.133,1.589,15.117,0.490
Carlisle,E07000028,7.207,2.383,0.811,7.750,15.174,8.766,3.593,14.674,0.785
Carmarthenshire,W06000010,7.503,1.915,0.575,4.452,16.013,10.476,2.255,15.650,0.490
Castle Point,E07000069,6.161,2.659,0.592,8.079,18.534,4.975,3.792,15.417,0.513
Causeway Coast and Glens,N09000004,5.880,1.705,0.553,3.047,13.088,11.192,1.769,17.567,0.059
Central Bedfordshire,E06000056,6.731,1.744,3.379,6.515,13.908,6.471,3.647,13.758,1.111
Ceredigion,W06000008,6.344,1.700,0.420,3.706,16.134,8.719,1.857,14.900,0.490
Charnwood,E07000130,6.084,1.678,0.587,6.792,13.445,5.404,3.605,12.809,0.953
Chelmsford,E07000070,6.366,1.373,0.561,6.575,13.761,4.789,3.557,12.076,1.249
Cheltenham,E07000078,6.762,1.716,0.703,5.549,12.138,5.180,3.676,10.753,1.376
Cherwell,E07000177,6.274,1.487,0.503,5.866,13.046,7.441,3.563,11.389,0.984
Cheshire East,E06000049,6.798,1.865,4.245,6.604,15.625,6.203,3.734,8.702,0.862
Cheshire West and Chester,E06000050,7.042,2.195,3.782,6.872,15.059,7.523,3.752,13.784,0.990
Chesterfield,E07000034,7.761,2.743,0.735,9.165,17.627,11.087,3.843,17.291,0.907
Chichester,E07000225,6.905,1.917,0.692,7.281,15.725,6.199,3.762,10.826,1.024
Chiltern,E07000005,6.338,1.334,3.916,6.266,14.092,5.757,1.614,7.083,0.690
Chorley,E07000118,7.367,2.306,0.622,6.550,15.415,6.618,3.708,8.022,0.488
City of Edinburgh,S12000036,5.674,1.545,0.756,2.961,11.603,4.688,1.796,15.594,0.112
Clackmannanshire,S12000005,6.181,1.853,0.686,4.007,14.711,9.651,2.252,19.161,0.112
Colchester,E07000071,6.210,1.571,0.546,5.625,12.870,7.478,3.669,14.740,1.250
Conwy,W06000003,6.965,2.286,0.889,4.224,17.321,8.999,2.421,15.067,0.490
Copeland,E07000029,7.873,3.157,0.705,9.164,17.310,6.818,3.845,16.942,0.367
Corby,E07000150,6.472,2.396,0.570,7.427,14.974,6.892,1.770,19.697,2.341
Cornwall and Isles of Scilly,E06000052,7.405,2.385,3.422,7.012,15.918,6.734,3.822,13.753,0.719
Cotswold,E07000079,7.230,1.722,0.784,6.040,15.315,5.006,3.852,12.245,0.759
County Durham,E06000047,7.283,3.145,3.879,8.258,16.950,10.449,3.790,14.987,0.682
Coventry,E08000026,5.786,1.528,3.822,7.041,12.277,6.268,4.018,15.928,2.675
Craven,E07000163,8.896,2.251,0.919,6.923,17.049,8.905,3.651,12.793,0.469
Crawley,E07000226,6.387,1.585,0.597,8.045,12.827,6.980,3.352,13.974,3.051
Croydon,E09000008,5.045,1.214,4.514,7.287,12.324,6.844,3.490,11.369,4.995
Dacorum,E07000096,5.840,1.563,0.442,6.054,13.584,8.136,3.559,14.307,1.335
